"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1160",39,"No","Travel_Frequently",711,"Research & Development",4,3,"Medical",1,1633,1,"Female",81,3,2,"Manufacturing Director",3,"Single",20168,12560,0,"Y","No",13,3,4,80,0,10,2,1,9,2,3,8
"117",34,"No","Travel_Rarely",1354,"Research & Development",5,3,"Medical",1,153,3,"Female",45,2,3,"Manager",1,"Single",46524,22460,2,"Y","No",12,3,4,80,0,14,6,3,11,10,5,8
"67",36,"No","Travel_Frequently",1195,"Research & Development",11,3,"Life Sciences",1,85,2,"Male",95,2,2,"Manufacturing Director",2,"Single",25996,90624,1,"Y","No",13,3,3,80,0,6,3,3,6,5,0,3
"300",51,"No","Travel_Rarely",1302,"Research & Development",2,3,"Medical",1,408,4,"Male",84,1,2,"Manufacturing Director",2,"Divorced",21928,65284,5,"Y","No",18,3,4,80,1,13,3,3,4,1,1,2
"962",35,"No","Travel_Frequently",482,"Research & Development",4,4,"Life Sciences",1,1350,3,"Male",87,3,2,"Research Scientist",3,"Single",16996,10760,1,"Y","Yes",11,3,2,80,0,9,3,3,9,6,1,1
"1266",33,"No","Non-Travel",775,"Research & Development",4,3,"Technical Degree",1,1771,4,"Male",90,3,2,"Research Scientist",2,"Divorced",12220,24776,5,"Y","No",15,3,4,80,2,11,2,2,9,8,1,7
"1164",37,"No","Travel_Rarely",1470,"Research & Development",10,3,"Medical",1,1640,2,"Female",71,3,1,"Research Scientist",2,"Married",15744,39812,1,"Y","No",11,3,1,80,1,8,2,1,8,4,7,7
"1085",34,"No","Travel_Rarely",971,"Sales",1,3,"Technical Degree",1,1535,4,"Male",64,2,3,"Sales Executive",3,"Married",28332,49152,1,"Y","Yes",14,3,4,80,0,10,3,3,10,9,8,6
"1317",43,"No","Travel_Frequently",1422,"Sales",2,4,"Life Sciences",1,1849,1,"Male",92,3,2,"Sales Executive",4,"Married",22700,76984,1,"Y","No",20,4,3,80,1,7,5,3,7,7,7,7
"804",34,"No","Non-Travel",697,"Research & Development",3,4,"Life Sciences",1,1115,3,"Male",40,2,1,"Research Scientist",4,"Married",11916,89912,3,"Y","No",17,3,4,80,3,6,2,3,0,0,0,0
"816",21,"No","Travel_Rarely",984,"Research & Development",1,1,"Technical Degree",1,1131,4,"Female",70,2,1,"Research Scientist",2,"Single",8280,101304,1,"Y","Yes",11,3,3,80,0,2,6,4,2,2,2,2
"1414",25,"No","Travel_Rarely",977,"Research & Development",2,1,"Other",1,1992,4,"Male",57,3,1,"Laboratory Technician",3,"Divorced",15908,29192,6,"Y","Yes",19,3,3,80,1,7,2,2,2,2,0,2
"619",25,"No","Travel_Rarely",180,"Research & Development",2,1,"Medical",1,854,1,"Male",65,4,1,"Research Scientist",1,"Single",13696,86528,7,"Y","No",13,3,3,80,0,6,3,2,4,3,0,1
"1273",38,"No","Travel_Rarely",1153,"Research & Development",6,2,"Other",1,1782,4,"Female",40,2,1,"Laboratory Technician",3,"Married",14808,65504,1,"Y","No",11,3,2,80,1,5,3,3,5,4,0,4
"1264",42,"No","Travel_Rarely",855,"Research & Development",12,3,"Medical",1,1768,2,"Male",57,3,1,"Laboratory Technician",2,"Divorced",11064,35808,8,"Y","No",22,4,2,80,3,7,6,2,5,3,0,4
"270",36,"No","Travel_Rarely",1403,"Research & Development",6,3,"Life Sciences",1,373,4,"Male",47,3,1,"Laboratory Technician",4,"Married",12840,81004,0,"Y","No",11,3,3,80,1,16,4,3,15,13,10,11
"713",33,"No","Travel_Rarely",461,"Research & Development",13,1,"Life Sciences",1,995,2,"Female",53,3,1,"Research Scientist",4,"Single",13808,68964,3,"Y","No",18,3,1,80,0,5,4,3,3,2,0,2
"1215",44,"No","Travel_Rarely",921,"Research & Development",2,3,"Life Sciences",1,1703,3,"Female",96,4,3,"Healthcare Representative",4,"Married",31516,59240,1,"Y","Yes",19,3,2,80,1,9,2,3,8,7,6,7
"1058",29,"Yes","Travel_Frequently",115,"Sales",13,3,"Technical Degree",1,1487,1,"Female",51,3,2,"Sales Executive",2,"Single",23060,69940,5,"Y","No",11,3,1,80,0,7,4,1,5,3,0,0
"473",37,"No","Travel_Rarely",446,"Research & Development",1,4,"Life Sciences",1,635,2,"Female",65,3,2,"Manufacturing Director",2,"Married",25788,62804,6,"Y","No",12,3,2,80,1,8,2,2,6,5,4,3
"567",47,"Yes","Travel_Frequently",719,"Sales",27,2,"Life Sciences",1,785,2,"Female",77,4,2,"Sales Executive",3,"Single",25588,41356,4,"Y","Yes",12,3,4,80,0,8,2,3,5,4,1,3
"605",42,"No","Travel_Rarely",933,"Research & Development",29,3,"Life Sciences",1,836,2,"Male",98,3,2,"Manufacturing Director",2,"Married",17736,47224,1,"Y","No",13,3,4,80,1,10,3,2,9,8,7,8
"966",25,"No","Travel_Rarely",882,"Research & Development",19,1,"Medical",1,1358,4,"Male",67,3,1,"Laboratory Technician",4,"Married",14676,36300,3,"Y","No",11,3,3,80,3,7,6,2,3,2,1,2
"1395",32,"No","Travel_Rarely",1373,"Research & Development",5,4,"Life Sciences",1,1966,4,"Male",56,2,2,"Manufacturing Director",4,"Single",38716,40552,8,"Y","No",24,4,2,80,0,8,1,3,1,0,0,0
"446",55,"No","Travel_Rarely",1117,"Sales",18,5,"Life Sciences",1,597,1,"Female",83,3,4,"Manager",2,"Single",67340,39492,3,"Y","No",23,4,4,80,0,37,2,3,10,9,7,7
"949",30,"No","Travel_Rarely",634,"Research & Development",17,4,"Medical",1,1321,2,"Female",95,3,3,"Manager",1,"Married",47664,103708,1,"Y","Yes",23,4,4,80,2,9,2,3,9,1,0,8
"1121",38,"No","Travel_Rarely",437,"Sales",16,3,"Life Sciences",1,1583,2,"Female",90,3,2,"Sales Executive",2,"Single",16792,65516,2,"Y","No",12,3,2,80,0,8,5,4,3,2,1,2
"638",32,"No","Non-Travel",300,"Research & Development",1,3,"Life Sciences",1,882,4,"Male",61,3,1,"Laboratory Technician",4,"Divorced",9256,36592,0,"Y","No",12,3,2,80,1,4,2,3,3,0,0,2
"97",24,"No","Travel_Rarely",1353,"Sales",3,2,"Other",1,128,1,"Female",33,3,2,"Sales Executive",3,"Married",19996,70076,0,"Y","No",21,4,1,80,1,4,2,2,3,2,0,2
"170",32,"No","Travel_Rarely",120,"Research & Development",6,5,"Life Sciences",1,231,3,"Male",43,3,1,"Research Scientist",3,"Single",12152,49720,3,"Y","No",20,4,1,80,0,8,2,3,5,4,1,4
"1432",32,"No","Travel_Rarely",801,"Sales",1,4,"Marketing",1,2016,3,"Female",48,3,3,"Sales Executive",4,"Married",41688,96128,1,"Y","No",19,3,3,80,2,14,3,3,14,10,5,7
"673",42,"No","Travel_Rarely",462,"Sales",14,2,"Medical",1,936,3,"Female",68,2,2,"Sales Executive",3,"Single",24976,31296,7,"Y","No",17,3,1,80,0,10,6,3,5,4,0,3
"1056",34,"No","Travel_Frequently",829,"Research & Development",15,3,"Medical",1,1485,2,"Male",71,3,4,"Research Director",1,"Divorced",68028,47716,7,"Y","No",14,3,4,80,2,16,3,2,14,8,6,9
"606",38,"No","Travel_Frequently",471,"Research & Development",12,3,"Life Sciences",1,837,1,"Male",45,2,2,"Healthcare Representative",1,"Divorced",25152,17136,2,"Y","No",15,3,3,80,1,13,3,2,4,3,1,2
"1188",38,"No","Travel_Frequently",1189,"Research & Development",1,3,"Life Sciences",1,1668,4,"Male",90,3,2,"Research Scientist",4,"Married",18940,39468,7,"Y","No",15,3,4,80,2,19,4,4,13,11,2,9
"1055",49,"No","Travel_Rarely",1490,"Research & Development",7,4,"Life Sciences",1,1484,3,"Male",35,3,3,"Healthcare Representative",2,"Divorced",41864,83792,3,"Y","No",14,3,2,80,2,29,3,3,8,7,0,7
"1069",28,"Yes","Travel_Frequently",289,"Research & Development",2,2,"Medical",1,1504,3,"Male",38,2,1,"Laboratory Technician",1,"Single",10244,21420,7,"Y","No",11,3,3,80,0,8,2,2,0,0,0,0
"258",40,"No","Travel_Rarely",1416,"Research & Development",2,2,"Medical",1,352,1,"Male",49,3,5,"Research Director",3,"Divorced",77744,23796,0,"Y","No",19,3,4,80,1,22,5,3,21,7,3,9
"556",29,"No","Travel_Rarely",1090,"Sales",10,3,"Marketing",1,766,4,"Male",83,3,1,"Sales Representative",2,"Divorced",9188,71868,1,"Y","No",14,3,4,80,2,2,2,3,2,2,2,2
"245",45,"No","Travel_Rarely",252,"Research & Development",1,3,"Other",1,336,3,"Male",70,4,5,"Manager",4,"Married",76808,63880,0,"Y","No",11,3,3,80,1,25,2,3,24,0,1,7
"634",36,"No","Travel_Rarely",1278,"Human Resources",8,3,"Life Sciences",1,878,1,"Male",77,2,1,"Human Resources",1,"Married",9368,34540,0,"Y","No",21,4,3,80,0,6,3,3,5,4,0,3
"65",36,"No","Travel_Rarely",1223,"Research & Development",8,3,"Technical Degree",1,83,3,"Female",59,3,3,"Healthcare Representative",3,"Divorced",40384,32808,1,"Y","No",13,3,2,80,3,17,2,3,17,14,12,8
"212",30,"No","Non-Travel",829,"Research & Development",1,1,"Life Sciences",1,292,3,"Male",88,2,3,"Manufacturing Director",3,"Single",33896,83700,1,"Y","No",22,4,3,80,0,12,2,3,11,8,5,8
